;TrV;Benämning;Definition;Synonym
Tillgangssystem;HBA;Utrymmeskyl- och värmesystem;kyl- och värmesystem för utrymme;markvärme, golvvärme, radiatorer
Tillgangssystem;HBB;Utrymmeskylsystem;kylsystem för utrymme;
Tillgangssystem;HBC;Utrymmesvärmesystem;värmesystem för utrymme;
Tillgangssystem;HC;DummyHC;;
Tillgangssystem;HCA;Utrustningskyl- och värmesystem;kyl- och värmesystem för utrustning;
Tillgangssystem;HCB;Utrustningskylsystem;kylsystem för utrustning;
Tillgangssystem;HCC;Utrustningsvärmesystem;värmesystem för utrustning;Tåg- och lokvärmeanläggning, Växelvärmningssystem
Tillgangssystem;HE;DummyHE;;
Tillgangssystem;HEA;Fjärrkyl- och värmesystem;kyl- och värmesystem för fjärrdistribution;
Tillgangssystem;HEB;Fjärrkylesystem;kylsystem för fjärrdistribution;
Tillgangssystem;HEC;Fjärrvärmesystem;värmesystem för fjärrdistribution;
Tillgangssystem;J;Luftbehandlingssystem;installationssystem som växlar och/eller anpassar kvaliteten på luft;Ventilationssystem
Tillgangssystem;JB;DummyJB;;
Tillgangssystem;JBA;Allmänventilationssystem;luftbehandlingssystem för att omhänderta luftföroreningar från människor, byggmaterial, inventarier o.d.;
Tillgangssystem;JC;Specialventilationssystem;luftbehandlingssystem för visst utrymme;
Tillgangssystem;JCB;Teknikutrymmesventilation;specialventilationssystem i teknikutrymme;Driftutrymmesventilation
Tillgangssystem;JCC;Tunnelventilationssystem;specialventilationssystem i tunnel;
Tillgangssystem;JCD;Renrumsventilation;specialventilationssystem med högfiltrerad luft;Behandlingsrumsventilation
Tillgangssystem;JCE;Skyddsrumsventilationssystem;specialventilationssystem i utrymme enligt lag om skyddsrum;
Tillgangssystem;JE;DummyJE;;
Tillgangssystem;JEA;Nödventilationssystem;luftbehandlingssystem som aktiveras vid oönskade nivåer av luftföroreningar;Brandventilation, nödluftssystem
Tillgangssystem;K;Elkraftssystem;installationssystem som tillför elektrisk energi;
Tillgangssystem;KB;Allmänt elkraftssystem;elkraftsystem för drift och aktivitet;Lågspänning, 1000 V/400 V/240 V anläggningar i byggnad samt för väg- och linjeobjekt
Tillgangssystem;KBB;Primärt elkraftssystem för allmänt bruk;allmänt elkraftsystem för reguljär drift;
Tillgangssystem;KBC;Reserv- och nödkraftssystem för allmänt bruk;allmänt elkraftsystem för tillfällig ersättning av primärt system;Dieselgenerator
Tillgangssystem;KBD;Avbrottsfri elkraftssystem för allmänt bruk;allmänt elkraftsystem för kontinuerlig drift under störd extern tillförsel;UPS allmän, UPS lågspänning
Tillgangssystem;KBM;Fördelning lågspänning;elkraftsystem för fördelning av lågspänning;Lågspänningställverk inom anl.komlex K
Tillgangssystem;KBN;Elkraft för installationer;elkraftsystem för försörjning av lågspänning till installationer;(tillämpas inom Väg), allmän kraft
Tillgangssystem;KC;Elkraftssystem för anläggning;elkraftsystem för drift av anläggning;22 kV/ 11 kV/ 6.3 kV anläggningar för anläggningsdrift
Tillgangssystem;KCB;Primär elkraftssystem för anläggning;elkraftsystem för anläggning för reguljär drift;Hjälpkraft
Tillgangssystem;KCC;Reserv- och nödkraftssystem för anläggning;elkraftsystem för anläggning för tillfällig ersättning av ordinarie system;
Tillgangssystem;KCD;Avbrottsfri elkraftssystem för anläggning;elkraftsystem för anläggning för kontinuerlig drift under störd extern tillförsel;UPS anläggning
Tillgangssystem;KCL;Transformering elkraft för anläggningsdrift;elkraftsystem för transformering av elkraft för anläggningsdrift;hjälpkraftstranformatorsystem Tillämpad inom anl.komlex K
Tillgangssystem;KCM;Fördelning elkraft för anläggningsdrift;elkraftsystem för fördelning av elkraft för anläggningsdrift;Elkraftställverk för anläggningsdrift. Tillämpad inom anl.komlex K
Tillgangssystem;KD;Elkraftssystem för processdrift;elkraftsystem för drift av industriell process;132 kV/32 kV 16 2/3 Hz försörjande system
Tillgangssystem;KDB;Primär elkraftssystem för processdrift;elkraftsystem för processdrift för reguljär drift;Matarledning
Tillgangssystem;KDC;Reserv- och nödkraftssystem för processdrift;elkraftsystem för processdrift för tillfällig ersättning av ordinarie system;
Tillgangssystem;KDD;Avbrottsfri elkraftssystem för processdrift;elkraftsystem för processdrift för kontinuerlig drift under störd extern tillförsel;
Tillgangssystem;KDL;Transformering elkraft för processdrift;elkraftsystem för transformering av elkraft för processdrift;Tillämpad inom anl.komlex K
Tillgangssystem;KDM;Fördelning elkraft för processdrift;elkraftsystem för fördelning av elkraft för processdrift;Elkraftställverk för processdrift. Tillämpad inom anl.komlex K
Tillgangssystem;KE;Elkraftssystem för fordonsdrift;elkraftsystem för drift av fordon;15 kV fordonsmatning, Kontaktledningssystem
Tillgangssystem;KEB;Primär elkraftssystem för fordonsdrift;elkraftsystem för fordonsdrift för reguljär drift;15 kV fordonsmatning, Kontaktledningssystem
Tillgangssystem;KEC;Reserv- och nödkraftssystem för fordonsdrift;elkraftsystem för fordonsdrift för tillfällig ersättning av ordinarie system;
Tillgangssystem;KEM;Fördelning elkraft för fordonsdrift;elkraftsystem för fördelning av elkraft för fordonsdrift;Elkraftställverk för fordonsdrift. Tillämpad inom anl.komlex K
Tillgangssystem;KEN;Överföring av elkraft för fordonsdrift;Elkraftsystem för överförning av elkraft för fordonsdrift genom friledning;AT-ledare, förbiledning, förstärkningslina, återledare
Tillgangssystem;KL;Elkraftssystem för omformning;elkraftsystem för  omformning av elkraft;Tillämpad inom anl.komlex K
Tillgangssystem;KLB;Frekvensomformning;elkraftsystem för frekvensomformning av elkraft för fordonsdrift;Tillämpad inom anl.komlex K
Tillgangssystem;KLC;Elkraftsfiltersystem;Elkraftsfiltersystem för filtrering av elkraft;Tillämpad inom anl.komlex K
Tillgangssystem;KLD;Avbrottsfri elkraftsystem för omformning;elkraftsystem för omformning för kontinuerlig drift under störd extern tillförsel;Tillämpad inom anl.komlex K
Tillgangssystem;KLL;Transformering elkraft för omformning;elkraftsystem för transformering av elkraft vid omformning;Tillämpad inom anl.komlex K
Tillgangssystem;L;Automationssystem;installationssystem som övervakar och/eller styr och reglerar tekniska system;Alarmsystem, kontrollsystem, styr- och övervakningssystem,  övervakningssystem, SCADA, SÖ-system
Tillgangssystem;LB;Fastighetsautomationssystem;automationssystem för byggnad;BMS, SCADA
Tillgangssystem;LBB;Överordnat fastighetsautomationssystem;fastighetsautomationssystem för styrning av ett eller flera flerfunktionella automationssystem;
Tillgangssystem;LBC;Flerfunktionellt fastighetsautomationssystem;fastighetsautomationssystem för flera processer;Lokalt styrsystem, lokalt autonomt styrsystem
Tillgangssystem;LC;Anläggnings- och driftledningssystem;automationssystem för anläggning;
Tillgangssystem;LCB;Överordnat styr- och övervakningssystem  för anläggning;anläggnings- och driftledningssystem för styrning av ett eller flera lokala anläggnings- och driftledningssystem;GELD, NTS/ LAIV (ledning anläggning information väg), NSÖ, ÖVB, NAVA, regionalt överordnat
Tillgangssystem;LCC;Lokalt styr- och övervakningssystem  för anläggning;lokalt anläggnings- och driftledningssystem;"SCADA, PCMS, ASÖ, ASÖ-AÖ (PCMS; ASÖ tunnelövergripnde säkerhetsfunktioner som bl.a. belysning säker utrymning och tunnelventilation), lokalt överordnat"
Tillgangssystem;LD;Trafikledningssystem;automationssystem för trafikanläggning;
Tillgangssystem;LDB;Överordnat trafikledningssystem;trafikledningssystem för styrning av ett eller flera lokala trafikledningssystem;MCS, (Motorway Control System)
Tillgangssystem;LDC;Lokalt trafikledningssystem;lokalt trafikledningssystem och/eller lokalt trafikstyrningssystem;UMS (UMS-Upplysningsmärkesystem), TUS (TUS - Trafikutrustningsystem), Signalställverkssystem
Tillgangssystem;LE;Övervakningssystem för väder och miljö;automationssystem för väder och miljö;
Tillgangssystem;LEB;Väderövervakningssystem;väderövervakningssystem;AWOS, VViS, väderinformation, vädervarningssystem, vägväderinformationssystem
Tillgangssystem;LEC;Vindvarningssystem;väderövervakningssystem för vind;
Tillgangssystem;LED;Isvarningssystem;väderövervakningssystem för is;
Tillgangssystem;LEE;Miljömätningssystem;miljöövervakningssystem;
Tillgangssystem;LF;Övervakningssystem för datanätverk;automationssystem för datanätverk;
Tillgangssystem;LFB;Övervakningssystem för hårdvara;övervakningssystem för datanätverk för hårdvara;
Tillgangssystem;LFC;Övervakningssystem för datatrafik;övervakningssystem för datanätverk för hårdvara;
Tillgangssystem;LG;Övervakningssystem för mediatransportnät;automationssystem för mediatransportnät;fjärrvärmeövervakning
Tillgangssystem;LJ;Betalsystem;automationssystem för ekonomiska transaktioner;trängselskattsystem, parkeringsautomater
Tillgangssystem;LK;Automationssystem för processinstallationer;automationssystem för industriella processer;
Tillgangssystem;M;Informations- och kommunikationssystem;installationssystem som omberörjer kommunikation mellan personer eller tekniska system;Bokningssystem, IT-system, kommunikationssystem, telesystem, varningssystem
Tillgangssystem;MB;DummyMB;;
Tillgangssystem;MBA;Datanätverk;kommunikationssystem för datatrafik;lokalt nätverk, LAN
Tillgangssystem;MC;DummyMC;;
Tillgangssystem;MCA;Personkommunikationssystem;informations- och kommunikationssystem för människor;
Tillgangssystem;MCB;Telefonisystem;personkommunikationssystem för dubbelriktad kommunikation;hjälptelefonsystem, konferenssystem, nödtelefonsystem, porttelefonsystem, snabbtelefon, telefonsystem, telesystem
Tillgangssystem;MCC;Meddelandesystem;personkommunikationssystem för enkelriktad kommunikation;Ljudsystem, PA-system, akustisk och visuell kommunikation
Tillgangssystem;MD;Signalerande system;informations- och kommunikationssystem för avgivande av signal;
Tillgangssystem;MDC;Nödsignalssystem;signalsystem för akut behov av assistans;Bråklarm, trygghetslarm, överfallslarm
Tillgangssystem;MDJ;Tidsignalsystem;signalsystem för tid;Tidgivningssystem
Tillgangssystem;ME;DummyME;;
Tillgangssystem;MEA;Trådlöst kommunikationsnätverk;Trådlöst informations- och kommunikationssystem mellan system och/eller människor;Radiosystem, 3G, 4G, 5G
Tillgangssystem;N;Transportsystem;installationssystem som transporterar gods eller personer;Hissar, rulltrappor, transportband
Tillgangssystem;NB;DummyNB;;
Tillgangssystem;NBA;Persontransportsystem;transportsystem för personer;Hissanläggning, trappsystem
Tillgangssystem;NC;Godstransportsystem;transportsystem för gods;Transportband
Tillgangssystem;P;Säkerhets- och skyddssystem;installationssystem som skyddar mot fara och skada;sprinkler, tillträdeshinder, 
Tillgangssystem;PB;DummyPB;;
Tillgangssystem;PBA;Brandsäkerhetssystem;säkerhets- och skyddssystem mot brand;branddörrsautomatik, nöddörrar rökgardin, utrymningsdörrar
Tillgangssystem;PBB;Brandövervakningssystem;brandsäkerhetssystem som detekterar och varnar för brand;Brandlarmsystem
Tillgangssystem;PBC;Brandbekämpningssystem ;brandsäkerhetssystem som släcker brand;Brandsläckningssystem
Tillgangssystem;PC;DummyPC;;
Tillgangssystem;PCA;Skalskyddssystem;säkerhets- och skyddssystem mot oönskad passage;
Tillgangssystem;PCB;Passagekontrollsystem;skalskyddssystem som kontrollerar behörighet för tillträde;dörrindikering
Tillgangssystem;PCC;Skalskyddslarm;skalskyddssystem som larmar vid oönskad passage;Inbrottslarmsystem, områdeslarm
Tillgangssystem;PD;Personsäkerhetssystem;säkerhets- och skyddssystem mot personskada;
Tillgangssystem;PDB;Utrymningsmarkering;personsäkerhetssystem som hänvisar väg för utrymning;belysta-, genomlysta- och icke belysta utrymningsskyltar
Tillgangssystem;PE;DummyPE;;
Tillgangssystem;PEA;Elsäkerhetssystem;säkerhets- och skyddssystem mot elskador;
Tillgangssystem;PEB;Potentialutjämningsystem;elsäkerhetssystem genom potentialutjämning;Jordningssystem
Tillgangssystem;PF;DummyPF;;
Tillgangssystem;PFA;Zon-övervakningssystem;säkerhets- och skyddssystem som bevakar en begränsad zon;Kameraövervakning
Tillgangssystem;Q;Ljusssytem;installationssystem för ljushantering;Belysningssystem, elbelysning, dagsljussystem, solavskärmning, mörkläggning
Tillgangssystem;QB;DummyQB;;
Tillgangssystem;QBA;Allmänbelysningssystem;belysningssystem för allmän aktivitet;
Tillgangssystem;QBB;Teknikutrymmesbelysning;allmänbelysningssystem i teknikutrymme;Teknikrumsbelysning, driftutrymmesbelysning
Tillgangssystem;QBC;Allmänbelysningssystem publika utrymme;allmänbelysningssystem för publikt utrymme;plattformsbelysning, belysning i förbindelsegångar och entréer i stationsmiljö
Tillgangssystem;QC;Platsbelysningssystem;belysningssystem för speciell aktivitet;arbetsplatsbelysning
Tillgangssystem;QD;DummyQD;;
Tillgangssystem;QDA;Nödbelysningssystem;belysningssystem som tänds automatiskt vid fallerande allmänbelysning;utrymningsbelysning
Tillgangssystem;QE;DummyQE;;
Tillgangssystem;QEA;Reservbelysningssystem;belysningssystem som tillfällig ersättning för ordinarie system;
Tillgangssystem;QF;DummyQF;;
Tillgangssystem;QFA;Dekorationsbelysningssystem;belysningssystem för estetiska syften;Konstbelysning
Tillgangssystem;QG;DummyQG;;
Tillgangssystem;QGA;Trafikbelysningssystem;belysningssystemför fordonstrafikanläggning;gångbanebelysning, cykelvägsbelysning, vägbelysning
Tillgangssystem;2;Utrustande system;funktionellt system som utrustar utrymmen;
Tillgangssystem;R;Spårsystem;utrustande system som leder och styr spårbundna fordon;Banöverbyggnad
Tillgangssystem;RB;Huvudspårsystem;spårsystem för tågfärd;
Tillgangssystem;RC;Sidospårsystem;spårsystem för växling eller växlingsrörelse;
Tillgangssystem;RD;Spårbytesanordning;spårsystem för byte av spår;
Tillgangssystem;S;Anordningar;utrustande system som förser ett byggnadsverk och dess utrymmen med inredning, tillbehör och utrustning;
Tillgangssystem;SB;DummySB;;
Tillgangssystem;SBA;Bruksanordningar;anordningar för brukaraktivitet;Bänkar od.
Tillgangssystem;SC;DummySC;;
Tillgangssystem;SCA;Skydds- och tillträdesanordningar;anordningar för skydd eller tillträde;bom, grind, dörr, lucka od.
Tillgangssystem;SE;Underhållsanordningar;anordningar för underhåll;
Tillgangssystem;SEB;Avisningssystem;anordningar som förbygger uppbyggandet av is på fordon;
Tillgangssystem;SF;DummySF;;
Tillgangssystem;SFA;Kanalisationssystem;anordningar för kanalisation;
Tillgangssystem;SG;Klimatavskärmande anordningar;anordningar för klimatskydd;
Tillgangssystem;SGB;Ljusavskärmande anordningar;klimatavskärmande system mot ljusinstrålning;
Tillgangssystem;SGC;Vindskyddsanordningar;klimatavskärmande system mot luftrörelse;
Tillgangssystem;SGD;Bullerskyddande anordningar;klimatavskärmande system mot oönskat ljud;bullerplank, bullervall
Tillgangssystem;SGE;Regnskyddsanordningar;klimatavskärmande system mot nederbörd;
Tillgangssystem;SGF;Snöskyddsanordningar;klimatavskärmande system mot drivande snö;
Tillgangssystem;SH;DummySH;;
Tillgangssystem;SHA;Lyftsystem;anordningar för vertikal och horisontellrörelse;Telfer, Travers
Tillgangssystem;T;Trafikanordningar;utrustande system som förser en trafikanläggning med anordningar för styrning och reglering av trafik;trafikutrustning, bommar, trafiksignaler, trafikskyltar
Tillgangssystem;TB;Trafiksignalsystem;trafikanordningar för signalering till trafikant;banljus, trafikljus, spårtrafiksignal, vägtrafiksignal, sjötrafiksignal, flygtrafiksignal
Tillgangssystem;TBB;Fordonstrafiksignalsystem;trafiksignalsystem för fordonstrafik;Automatic Train Control (ATC), Automatic Train Protection (ATP), European Train Control System (ETCS)
Tillgangssystem;TBC;Selektivt styrd trafiksignalering;selectivt kontrollerande trafiksignalsystem;
Tillgangssystem;TBD;Påfartsregleringssystem;trafiksignalsystem för påfartstrafik;rampstyrning
Tillgangssystem;TBE;Gång- och cykeltrafiksignalssystem;trafiksignalsystem för gång- och cykeltrafik;
Tillgangssystem;TBF;Kövarningssystem;trafiksignalsystem som varnar för köbildning;
Tillgangssystem;TBG;Reversibla körfält;trafiksignalsystem för ändring av riktning av körfält;
Tillgangssystem;TBH;Trafikvarningssystem;trafiksignalsystem som informerar om trafikförutsättningar;
Tillgangssystem;TBJ;System med vägmarkeringar;trafiksignalsystem med vägmarkering;
Tillgangssystem;TBL;Vägskyddsanläggning;trafiksignalsystem för styrning av vägtrafik vid plankorsning.;vägskyddsanläggning
Tillgangssystem;TC;Trafikavstängningssystem;trafikanordningar för avstängning av trafik ;
Tillgangssystem;TCB;Fysiska avstängningsanordningar för trafik;trafikavstängningssystem genom fysiskt hinder;bommar
Tillgangssystem;TCC;Signalsystem för avstängning av trafik;trafikavstängningssystem genom signalering;hinderdetektering
Tillgangssystem;TD;Hastighetsövervakningssystem;trafikanordningar för övervakning av fordonshastighet;
Tillgangssystem;TDB;Automatiskt hastighetskontrollsystem;hastighetövervakningssystem  för fordon;ATK, automatiskt trafikkontrollsystem, fartkamerasystem, hastighetsövervakning
Tillgangssystem;TDC;System för hastighetsövervakning och hastighetsreducering;hastighetsövervakningssystem för fordon, kapabelt att sänka hastigheten;
Tillgangssystem;TDD;Hastighetspåminnelsesystem;hastighetsövervakningssystem för påminnelse om gällande hastighetsgräns;
Tillgangssystem;TE;DummyTE;;
Tillgangssystem;TEA;Fordonskontrollsystem;trafikanordningar för kontroll av fordon ;
Tillgangssystem;TEB;Fordonsidentifieringssystem;fordonskontrollsystem för identifiering;
Tillgangssystem;TEC;Fordonsdetekteringssystem;fordonskontrollsystem för närvaro;spökförardetektering, trafikmätningssystem, trafikräkning
Tillgangssystem;TED;Fordonsskadedetekteringssystem;fordonskontrollsystem för skada;
Tillgangssystem;TEE;Fordonsbromskontrollsystem;fordonskontrollsystem för bromsar;
Tillgangssystem;TEF;Fordonsviktkontrollsystem;fordonskontrollsystem för vikt;
Tillgangssystem;3;Virtuellt system;funktionellt system utan fysisk realisering;
Tillgangssystem;Z;Koordinatsystem;virtuellt system som förser ett byggnadsverk och dess omgivning med ett geodetiskt referenssystem;Mätpunkter, referenspunkter, stompunkter, stomnät, byggplatsnät
Tillgangssystem;ZB;2D-system;2-dimensionellt koordinatsystem;
Tillgangssystem;ZC;3D-system;3-dimensionellt koordinatsystem;
Konstruktiva system;;DummyA;;
Konstruktiva system;A;Sammansatt byggkonstruktivssystem;konstruktivt system som formar grund, väggar, bjälklag och tak;
Konstruktiva system;AA;Hårdgjord yta;Sammansatt byggkonstruktivtsystemt som formar yta för transport;
Konstruktiva system;AB;Grundkonstruktion;byggkonstruktion som formar avgränsning mot terrass;
Konstruktiva system;ABB;Plattgrundläggning;grundkonstruktion med stomme i form av ett styvt liggande plan;Platta på mark
Konstruktiva system;ABC;Grundmursgrundläggning;grundkonstruktion med stomme i form av ett stående plan;
Konstruktiva system;ABD;Plintgrundläggning;grundkonstruktion med stomme i form av  vertikalt långsträckta objekt;
Konstruktiva system;ABE;Rustbäddsgrundläggning;grundkonstruktion med stomme i form av ett flexibelt liggande plan;
Konstruktiva system;AC;Bjälklagskonstruktion;byggkonstruktion som formar horisontell avskiljning;Brobanekonstruktion
Konstruktiva system;ACB;Bjälklagskonstruktion med solid stomme;bjälklagskonstruktion med kärna i form av ett skikt;Massivplatta, håldäck, plattbjälklag, plattbro, plattbärlag, plattrambro, trågbalkbro
Konstruktiva system;ACC;Bjälklagskonstruktion med stomme av balkar;bjälklagskonstruktion med kärna i form av horisontellt långsträckta objekt;Balkbjälklag, balkrambro, balkbro
Konstruktiva system;ACD;Bjälklagskonstruktion med stomme av fackverk;bjälklagskonstruktion med kärna i form av förenade och samverkande stänger;Bågbro, fackverksbro, hängbro, snedkabelbro
Konstruktiva system;ACE;Bjälklagskonstruktion med stomme av sandwichkonstruktion;bjälklagskonstruktion med kärna i form av flera skikt;
Konstruktiva system;ACF;Bjälklagskonstruktion med murad stomme;bjälklagskonstruktion med kärna i form av block;Valvbro
Konstruktiva system;AD;Väggkonstruktion;byggkonstruktion som formar vertikal avskiljning;
Konstruktiva system;ADB;Väggkonstruktion med solid stomme;väggkonstruktion med kärna i form av ett skikt;Dammväggskonstruktion, kajväggskonstruktion, pirkonstruktion, spontkonstruktion, stödmurskonstruktion
Konstruktiva system;ADC;Väggkonstruktion med pelarstomme;väggkonstruktion med kärna i form av långsträckta objekt;
Konstruktiva system;ADD;Väggkonstruktion med fackverksstomme;väggkonstruktion med kärna i form av förenade och samverkande stänger;Regelvägg
